eventname,outcome,type,compiledgametime,video_frame,playsection,zone,manpowersituation,goal,so_goal,teamid,playerid,opposingteamgoalieoniceid,xadjcoord,yadjcoord
faceoff,failed,none,462.53333,40565,eastOuterSlot,oz,powerPlay,0,0,32522,1111110,320320,69.1008758544922,21.8794116973877
controlledentryagainst,successful,3on3,492.53333,41465,westPointDZ,dz,shortHanded,0,0,1212,466466,1717716,-36.4096984863281,16.3441162109375
controlledentryagainst,failed,3on3,499.96667,41688,eastPointDZ,dz,shortHanded,0,0,1212,309309,1717716,-32.8882446289062,-1.75478744506836
shot,failed,slotblocked,511.86667,42045,westOuterSlot,oz,powerPlay,0,0,32522,541541,320320,63.0655784606934,-20.3676452636719
shot,successful,outside,522.86664,42375,centerPoint,oz,powerPlay,0,0,32522,465465,320320,40.9361686706543,0.755882263183594
shot,failed,slot,538.56665,42846,eastOuterSlot,oz,powerPlay,0,0,32522,541541,320320,71.6155776977539,19.8676471710205
controlledentryagainst,successful,3on3,598.8,44653,eastPointDZ,dz,evenStrength,0,0,32522,170170,320320,-40.0373687744141,-9.80588150024414
controlledentryagainst,failed,3on3,611.63336,45038,westPointDZ,dz,evenStrength,0,0,1212,8001994,1717716,-32.8891067504883,29.9235305786133
shot,successful,outside,614.5,45124,outsideNorthEast,oz,evenStrength,0,0,32522,13866853,320320,62.5617752075195,24.8900814056396
shot,successful,slot,636,45769,eastOuterSlot,oz,evenStrength,0,0,32522,10386376,320320,62.0588340759277,21.3694915771484
controlledentryagainst,failed,3on3,658.6667,46449,eastPointDZ,dz,evenStrength,0,0,32522,10224214,320320,-32.9970550537109,-32.9481582641602
controlledentryagainst,failed,2on3,677.0333,47000,westPointDZ,dz,evenStrength,0,0,1212,8392384,1717716,-26.8529510498047,21.8834457397461
faceoff,successful,recovered,692.76666,51555,northCenterNZ,nz,evenStrength,0,0,32522,1111110,320320,0.197929382324219,-0.752941131591797
faceoff,failed,none,692.76666,51555,southCenterNZ,nz,evenStrength,0,0,1212,21696675,1717716,-0.197929382324219,0.752941131591797
shot,failed,outside,718.0333,52313,outsideNorthWest,oz,evenStrength,0,0,1212,8001994,1717716,68.7058715820313,-26.398904800415
faceoff,successful,none,731.1,53427,northCenterNZ,nz,evenStrength,0,0,32522,1590589,320320,0.700874328613281,-0.752941131591797
faceoff,failed,none,731.1,53427,southCenterNZ,nz,evenStrength,0,0,1212,12789777,1717716,-0.700874328613281,0.752941131591797
controlledentryagainst,failed,2on2,743.1667,53789,centerPointDZ,dz,evenStrength,0,0,32522,465465,320320,-41.5461883544922,8.29999923706055
shot,successful,outside,743.76666,53807,centerPoint,oz,evenStrength,1,0,1212,711711,1717716,39.0314788818359,0.25
faceoff,successful,recoveredwithentry,745.0333,55488,northCenterNZ,nz,evenStrength,0,0,32522,1346345,320320,0.197929382324219,-0.752941131591797
faceoff,failed,none,745.0333,55488,southCenterNZ,nz,evenStrength,0,0,1212,12789777,9993984,-0.197929382324219,0.752941131591797
controlledentryagainst,failed,3on3,766.13336,56121,southEastBoardsNZ,dz,evenStrength,0,0,32522,10176166,320320,-40.0373687744141,19.8676471710205
faceoff,successful,recovered,782.0333,57750,eastOuterSlotDZ,dz,shortHanded,0,0,32522,1590589,320320,-68.7050018310547,-22.8823547363281
faceoff,failed,none,782.0333,57750,eastOuterSlot,oz,powerPlay,0,0,1212,109109,9993984,68.7050018310547,22.8823547363281
controlledentryagainst,failed,1on0,791.06665,58021,eastPointDZ,dz,powerPlay,0,0,1212,320320,9993984,-87.2067565917969,1.25588226318359
shot,successful,slot,793.7,58100,innerSlot,oz,shortHanded,1,0,32522,36036,320320,86.2000122070313,2.76066970825195
faceoff,successful,recoveredwithentry,794.3,59317,southCenterNZ,nz,shortHanded,0,0,32522,1346345,320320,-0.807952880859375,-0.25
faceoff,failed,none,794.3,59317,northCenterNZ,nz,powerPlay,0,0,1212,711711,9993984,0.807952880859375,0.25
controlledentryagainst,successful,2on3,807.3,59707,centerPointDZ,dz,shortHanded,0,0,32522,170170,320320,-29.9794006347656,-2.26874160766602
controlledentryagainst,failed,2on3,835.23334,60545,eastPointDZ,dz,shortHanded,0,0,32522,170170,320320,-43.5588073730469,-18.8658027648926
shot,failed,outsideblocked,840.8,60712,centerPoint,oz,powerPlay,0,0,1212,309309,9993984,43.5588073730469,12.830509185791
faceoff,successful,recoveredwithslotshot,843.4,61603,westOuterSlot,oz,powerPlay,0,0,1212,711711,9993984,68.7050018310547,-22.3823528289795
faceoff,failed,none,843.4,61603,westOuterSlotDZ,dz,shortHanded,0,0,32522,1111110,320320,-68.7050018310547,22.3823528289795
