compiledgametime,video_frame,teamid,playerid,expectedgoals
3351.8,57267,32522,1346345,0.004862145520747
3375,57963,32522,10176166,0.001107615651563
3421.9666,60343,32522,465465,0.003187641501427
3474,61904,1212,8392384,0.001417953986675
3496.1333,62568,32522,1111110,0.134071350097656
3688.9666,5593,1212,12789777,0.037206832319498
3720.0334,6525,1212,8392384,0.052828647196293
3726.1,6707,1212,786786,0.028563370928168
3738.5667,8045,32522,1590589,0.034361530095339
3764.1333,8812,32522,2482480,0.063858315348625
3780.5667,9305,32522,36036,0.011699760332704
3807.7,13196,1212,309309,0.193614080548286
3818.3,13514,1212,12789777,0.201444610953331
3844.3333,14295,1212,309309,0.026808731257916
3895.4666,15829,1212,12789777,0.114809557795525
